trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.998280988314872}",35,0,-120.4718145015113,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9981981810026931}",30,0,-179.07174893986937,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9981134276520827}",30,0,-217.69265727287691,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9980267284282716}",20,2,-98.85616266303353,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.9979380835002845}",20,6,-5.405287182198837,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.9978474930409392}",20,0,-165.2592528142459,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.9977549572268466}",25,0,-71.06760762363659,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.9976604762384097}",30,0,-181.23947050943033,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.9975640502598242}",30,0,-151.86759735346703,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.9974656794790776}",20,0,-111.5921063667545,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.9973653640879485}",25,0,-34.27019855224849,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.997263104282007}",20,0,-76.42157016337381,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.9971589002606139}",25,0,-174.48928906750518,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.9970527522269202}",20,0,-151.21790928987494,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.996944660387867}",20,0,-68.70171334845503,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.9968346249541847}",20,0,-159.1010227204388,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.9967226461403932}",20,0,-84.06969795315266,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.9966087241648008}",20,0,-77.58388469222164,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.9964928592495044}",30,0,-194.7391211073169,"{0: 18, 1: 2, 2: 4, 3: 4, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.9963750516203883}",30,0,-155.96784197477632,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.9962553015071247}",25,0,-88.67061353633353,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.9961336091431725}",25,0,-154.02935557918897,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.9960099747657771}",25,9,-44.524433966097774,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.9958843986159703}",30,0,-126.95867789666659,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.9957568809385692}",20,2,-131.19459187715506,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 2}",1
67,False,"{'a': 0.01, 'e': 0.9956274219821757}",30,0,-63.50601034683206,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.995496021999177}",25,0,-149.33887752213803,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.9953626812457439}",20,0,-167.32721486302376,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.9952273999818312}",35,0,-241.20764946317908,"{0: 19, 1: 6, 2: 5, 3: 1, 4: 4}",0
71,False,"{'a': 0.01, 'e': 0.9950901784711764}",25,0,-45.0409268417857,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.9949510169813002}",20,0,-169.48999890411386,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
73,False,"{'a': 0.01, 'e': 0.9948099157835046}",20,0,-143.54771393018666,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.9946668751528741}",25,19,-4.3369519799869245,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.9945218953682733}",20,0,-124.90935095978348,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.994374976712348}",20,0,-178.26345776260447,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
77,False,"{'a': 0.01, 'e': 0.9942261194715235}",30,0,-139.46195786269342,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.9940753239360046}",25,0,-112.36446027580318,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.9939225903997749}",20,0,-84.57315945548805,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.9937679191605964}",30,0,-172.3567368514731,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.9936113105200084}",30,0,-131.7121263225864,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.9934527647833276}",25,0,-30.085869022351844,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.9932922822596469}",25,0,-182.35722391954184,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
84,False,"{'a': 0.01, 'e': 0.9931298632618354}",35,0,-181.02266080140762,"{0: 21, 1: 1, 2: 8, 3: 4, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.9929655081065369}",25,0,-155.8978104967121,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.9927992171141706}",20,0,-118.26748915457172,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
87,False,"{'a': 0.01, 'e': 0.992630990608929}",20,0,-43.876968837839314,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.9924608289187784}",20,0,-61.836273183397246,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.9922887323754577}",20,0,-78.08524366812703,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.9921147013144779}",20,0,-137.7593249366058,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.9919387360751214}",25,0,-116.45931643691226,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.9917608370004416}",20,0,-66.58427580888157,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.9915810044372617}",25,0,-176.60124219375479,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
94,False,"{'a': 0.01, 'e': 0.9913992387361745}",25,0,-169.68151487340404,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.9912155402515417}",25,0,-152.51343101347203,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.9910299093414927}",25,11,-64.65244058318261,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.9908423463679246}",20,0,-54.60588568147913,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.990652851696501}",25,0,-164.1739702880878,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
99,False,"{'a': 0.01, 'e': 0.9904614256966512}",30,0,-298.0637045376198,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 5}",0
100,False,"{'a': 0.01, 'e': 0.9902680687415704}",20,0,-167.05986736145536,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.9900727812082175}",20,13,-50.211320354985475,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.9898755634773158}",20,0,-193.09438939157326,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
103,False,"{'a': 0.01, 'e': 0.9896764159333512}",25,0,-77.78488048116003,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.9894753389645721}",20,9,-36.885038046494785,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.9892723329629883}",20,0,-90.56214422426116,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.9890673983243705}",25,0,-309.312770711403,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 7}",0
107,False,"{'a': 0.01, 'e': 0.9888605354482491}",20,0,-57.19921121017798,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.9886517447379141}",25,0,-103.39698568408991,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.9884410266004133}",25,0,-155.09334283098954,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.9882283814465528}",20,0,-116.61506718344432,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.9880138096908951}",20,0,-108.59267447184591,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.9877973117517589}",20,0,-79.59387108622394,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.987578888051218}",25,0,-102.83847517501061,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.9873585390151003}",20,0,-212.67163840123706,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
115,False,"{'a': 0.01, 'e': 0.9871362650729879}",20,0,-102.98106424640095,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.9869120666582151}",25,0,-112.07014987310937,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.986685944207868}",25,0,-119.07864267411674,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
118,False,"{'a': 0.01, 'e': 0.9864578981627842}",25,0,-94.56095400965562,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.986227928967551}",20,7,-23.014828059859255,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.985996037070505}",30,0,-134.37210433423198,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.9857622229237314}",20,0,-22.63957165545328,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.9855264869830628}",20,0,-157.08857916138584,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
123,False,"{'a': 0.01, 'e': 0.9852888297080786}",30,0,-114.91808378733458,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.9850492515621038}",30,0,-121.51877972031672,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.984807753012208}",30,2,-46.21161105121112,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.9845643345292053}",20,0,-173.64343905216404,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
127,False,"{'a': 0.01, 'e': 0.9843189965876524}",20,0,-79.07073756908139,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.9840717396658482}",35,0,-257.6204495578865,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 5}",0
129,False,"{'a': 0.01, 'e': 0.9838225642458326}",25,0,-189.49368620235728,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
130,False,"{'a': 0.01, 'e': 0.9835714708133859}",30,0,-81.87532402028955,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.9833184598580276}",20,13,-9.326015363797518,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.9830635318730154}",20,0,-53.218458633714825,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.9828066873553447}",20,0,-69.34460081165791,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.9825479268057468}",20,0,-146.04431855123548,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
135,False,"{'a': 0.01, 'e': 0.9822872507286887}",25,0,-163.4056821496388,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
136,False,"{'a': 0.01, 'e': 0.9820246596323717}",25,0,-85.59761956842691,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.9817601540287307}",25,0,-254.0722404164317,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
